,no,place_id_left,place_id_right,study_id,left,right,voter_uniqueid,choice,study_question,place_name_right,place_name_left,day,time,lat_right,long_right,lat_left,long_left
56972,56973,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d67a9fdc9f03587004128,513d681dfdc9f03587004269,b3c725ba7f6845f284328bd9b0e81cdb,left,safer,Boston,Boston,2014-07-23,17:52:42,42.300506,-71.07583499999998,42.276086,-71.06117999999998
57004,57005,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6c8ffdc9f03587004fcc,513d6982fdc9f03587004764,025903141a44430797b4e9d42e19c0b6,left,safer,Boston,Boston,2016-03-12,01:02:00,42.311284,-71.13270599999998,42.385246,-71.173652
57021,57022,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6c85fdc9f03587004fb2,513d7a8dfdc9f0358700688f,e0a57e17e6f24c38a9760728222f6497,left,safer,New York,Boston,2016-10-03,08:19:37,40.791187,-73.84547800000001,42.341839,-71.08612199999999
57030,57031,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6c9afdc9f03587004feb,513d9e0dfdc9f035870082a6,fdcd3c96eeb14c3f9309bcd925ee8ac2,left,safer,New York,Boston,2018-11-08,15:32:03,40.853013,-73.89467400000001,42.282399,-71.096495
57055,57056,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6934fdc9f03587004651,513d9cebfdc9f03587007ede,91cdee9d38954383a42609133566e9bc,right,safer,New York,Boston,2014-12-02,10:49:00,40.609503,-74.00390900000002,42.311942,-71.04588100000001
57061,57062,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6867fdc9f03587004366,513d690efdc9f035870045bc,2798b41d92da4463be223dbefaa63b80,left,safer,Boston,Boston,2014-10-31,04:49:21,42.383853,-70.991847,42.351856,-71.11022500000001
57197,57198,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6b3cfdc9f03587004c8c,513d7dd8fdc9f035870072a0,4356df68b957497ca5ba8ae9e5b47eda,equal,safer,New York,Boston,2014-11-21,12:35:20,40.805361,-73.96554700000002,42.421966,-71.06429500000002
57234,57235,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6a74fdc9f03587004a84,513d9db1fdc9f03587008177,e580c55706814e4fac9a16ed9222b4c7,left,safer,New York,Boston,2013-12-20,12:19:35,40.770975,-73.94027299999999,42.402378,-71.14039000000002
57327,57328,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d690efdc9f035870045be,513d677efdc9f035870040b5,7682d1759165471abc36574ecf9f61f8,left,safer,Boston,Boston,2014-12-17,08:14:44,42.405637,-71.11242199999998,42.339,-71.07750299999998
57413,57414,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6af4fdc9f03587004bd6,513d6a26fdc9f0358700498d,0ea46134eb4941859e8f2f0254d4121b,left,safer,Boston,Boston,2014-11-19,22:30:19,42.409275,-71.11127699999997,42.334892,-71.10855400000003
57420,57421,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d678bfdc9f035870040db,513d69dbfdc9f03587004895,962d4a96b47043b69ad460530d23312d,right,safer,Boston,Boston,2014-07-26,17:01:30,42.381892,-71.071396,42.33247,-71.14814999999999
57625,57626,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6ba5fdc9f03587004d8c,513d6aadfdc9f03587004b1e,3dbe4dd16c0745ee9a15d5b7d9ae393f,right,safer,Boston,Boston,2014-06-27,20:36:31,42.32599,-71.13399900000002,42.3953,-70.98573199999998
57789,57790,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6a1afdc9f03587004966,513d78b8fdc9f0358700626d,1cbe0a41c3a746f2983392bc3c84abe6,right,safer,New York,Boston,2016-03-10,08:51:45,40.711555,-73.822292,42.298967,-71.05700300000001
58031,58032,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d699dfdc9f035870047bb,513d7ca1fdc9f03587006f69,38dfbd87a3ab43c7b3282afee175e136,right,safer,New York,Boston,2014-12-12,09:00:15,40.83968,-73.908977,42.370625,-70.98443199999997
58046,58047,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d678dfdc9f035870040e1,513d9ac0fdc9f035870077bb,22f84709001e4f8997037c00996cca4d,left,safer,New York,Boston,2015-07-15,22:37:37,40.597387,-74.004437,42.415254,-71.06812500000001
58190,58191,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6b22fdc9f03587004c4e,513d9c16fdc9f03587007c08,e73addb735624ea1952d745485496884,left,safer,New York,Boston,2014-10-25,20:26:29,40.823448,-73.86454400000002,42.390235,-71.09826299999997
58316,58317,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6be2fdc9f03587004e1f,513d6c14fdc9f03587004e9a,c019fd33628c4b278428b2677eb4a2e2,left,safer,Boston,Boston,2014-11-20,16:08:39,42.360537,-71.06037600000002,42.361996,-70.97509300000002
58323,58324,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6991fdc9f03587004794,513d7ba7fdc9f03587006c2e,9e08306674314ea4ac235580e2206c70,left,safer,New York,Boston,2014-03-10,08:57:16,40.734143,-73.844134,42.331102,-71.08626400000003
58429,58430,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6b0cfdc9f03587004c14,513d9cb1fdc9f03587007e17,93be8952a0424bae8a43cab3523c9b67,equal,safer,New York,Boston,2015-07-27,09:20:53,40.721609,-73.87786699999998,42.355516,-71.05249100000003
58433,58434,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6a2afdc9f035870049a1,513d7ae7fdc9f035870069b1,2c12d50a5b9c4a13bfbe4ccb6b7d20d9,right,safer,New York,Boston,2014-10-16,05:49:09,40.678212,-73.90605199999999,42.284504,-71.10967599999998
58513,58514,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6953fdc9f035870046b2,513d6bdefdc9f03587004e15,a123446a466d44298631407baf60e2c9,left,safer,Boston,Boston,2013-12-30,09:30:58,42.368828,-71.17515800000001,42.385789,-71.019675
58666,58667,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6acbfdc9f03587004b6a,513d787afdc9f0358700619a,03c6a203e4754db383bc02a7be6cfb98,right,safer,New York,Boston,2014-10-31,15:22:01,40.679907,-73.87808899999999,42.379479,-71.13163299999997
58668,58669,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6779fdc9f035870040a7,513d7bb4fdc9f03587006c5d,afe2a5e4ce1c4b178bb367fe443ef26c,left,safer,New York,Boston,2014-10-19,13:13:55,40.735554,-73.87578100000002,42.416379,-71.096251
58744,58745,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d68d8fdc9f035870044fc,513d6be4fdc9f03587004e25,4615ec07772249a69e17990a5e7cc0ce,right,safer,Boston,Boston,2013-08-18,06:51:37,42.405435,-71.034313,42.358459,-71.15088200000002
58809,58810,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6980fdc9f0358700475f,513d6818fdc9f03587004257,c0fed0d3cd9248b4b88f240dfb5d80fe,equal,safer,Boston,Boston,2013-12-26,18:52:24,42.38022,-71.17476299999998,42.396326,-71.118762
58930,58931,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d67c4fdc9f03587004166,513d68bcfdc9f035870044a1,e33a1378b7ea4745a89c5b452ef6bac6,left,safer,Boston,Boston,2015-04-23,08:40:12,42.323385,-71.048969,42.403133,-71.13058999999998
59128,59129,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d699efdc9f035870047bf,513d9e9bfdc9f03587008477,90892f74abf34cbd95b2f9e0949af194,left,safer,New York,Boston,2015-09-10,11:34:31,40.780132,-73.89697699999999,42.311685,-71.10148900000002
59139,59140,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6902fdc9f03587004594,513d7e43fdc9f03587007383,98ec1dc4e2eb41b8ae9a28b2e12e2f95,left,safer,New York,Boston,2014-10-26,23:39:22,40.644202,-73.83587799999998,42.340426,-71.08497999999997
59376,59377,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6971fdc9f03587004721,513d9ebafdc9f035870084d8,d991810e44ae412c908572fc17854d03,left,safer,New York,Boston,2014-11-29,07:13:56,40.607217,-73.93225899999999,42.400369,-71.10400300000003
59442,59443,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6a23fdc9f03587004983,513d7eaefdc9f0358700745f,79c11ed235f84946a58412340c9c5567,right,safer,New York,Boston,2015-09-09,15:08:53,40.60253,-73.99804599999999,42.386596,-71.13496299999997
59522,59523,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6c82fdc9f03587004fac,513d78c8fdc9f035870062a6,80df1a512b1d44adaee97b8f7ba584c2,right,safer,New York,Boston,2013-07-27,05:13:13,40.64522,-73.894657,42.357263,-71.104107
59607,59608,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6772fdc9f03587004096,513d6813fdc9f03587004245,218c40fe7cb34731a0f6d88f81ac1a67,left,safer,Boston,Boston,2014-12-14,13:52:42,42.381665,-71.07000099999999,42.415811,-71.012654
59786,59787,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6c66fdc9f03587004f6d,513d6b06fdc9f03587004c03,b5c4dbfdb95d4115898f0ccb84a7fbb0,right,safer,Boston,Boston,2015-09-10,10:47:26,42.296668,-71.11289399999998,42.411772,-71.05054100000001
59895,59896,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6b68fdc9f03587004cf4,513d9bc9fdc9f03587007b0a,dac50769e19f4e62befe447daea6defe,left,safer,New York,Boston,2014-06-27,15:28:18,40.631347,-73.885534,42.369529,-71.04351099999997
60012,60013,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6b5cfdc9f03587004cd7,513d686afdc9f03587004374,c0fed0d3cd9248b4b88f240dfb5d80fe,equal,safer,Boston,Boston,2013-12-26,18:42:24,42.367701,-71.065899,42.380387,-70.99178599999999
60094,60095,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6958fdc9f035870046c4,513d6c9dfdc9f03587004ff1,9124c4ef913c499a9c79ebb6c11f6966,right,safer,Boston,Boston,2014-06-30,14:17:27,42.338113,-71.13612,42.36343,-71.11816199999998
60289,60290,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6c80fdc9f03587004fa7,513d6ad7fdc9f03587004b87,b1ce291416d546c2a8c1677837b2b3b2,right,safer,Boston,Boston,2014-10-15,17:13:26,42.366721,-71.09801099999999,42.386721,-71.04580299999998
60326,60327,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6ac6fdc9f03587004b5d,513d7cbbfdc9f03587006fb9,bb6591e9f51040b1b15081b315809c9d,right,safer,New York,Boston,2013-07-31,17:43:30,40.603295,-73.97683799999999,42.390075,-71.17672600000003
60423,60424,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d68f0fdc9f03587004553,513d7dbafdc9f03587007260,a120550b805e48faa7a91af8c10a370a,right,safer,New York,Boston,2014-10-21,08:29:32,40.771156,-73.97045100000003,42.354446,-71.13666599999999
60475,60476,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6800fdc9f03587004206,513d69e5fdc9f035870048b1,eed53a43a8954d8c9c6582b2baab55b3,left,safer,Boston,Boston,2013-09-12,17:29:16,42.372239,-70.979175,42.408178,-71.12094200000001
60477,60478,50e5f168d7c3df413b000279,50e70a8cd7c3df413b000c72,50a68a51fdc9f05596000002,513d6b0ffdc9f03587004c1d,513d9e26fdc9f035870082fa,4a2d25085cdb44a081276d82c1eeee2d,left,safer,New York,Boston,2014-11-22,21:27:36,40.921918,-73.89837899999998,42.367602,-71.11938099999998
60482,60483,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d69f0fdc9f035870048da,513d6c06fdc9f03587004e75,714ade895e0b485da2a1f8ef9d3596e2,left,safer,Boston,Boston,2015-09-10,20:39:02,42.34003,-71.064394,42.387074,-71.16490099999999
60485,60486,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6af1fdc9f03587004bcf,513d6858fdc9f03587004336,065b03078bb44984b9b12b6e9279bf08,left,safer,Boston,Boston,2017-11-03,06:48:08,42.369131,-71.06017400000002,42.317516,-71.096607
60587,60588,50e5f168d7c3df413b000279,50e5f168d7c3df413b000279,50a68a51fdc9f05596000002,513d6b30fdc9f03587004c70,513d6c0bfdc9f03587004e82,ae0992886a844cc4978e9746b9a2927b,equal,safer,Boston,Boston,2015-04-29,18:30:23,42.339977,-71.09593100000001,42.409724,-71.12935700000003
